"Date","beef_commercial","veal_commercial","pork_commercial","lamb_commercial","total_red_commercial","beef_federal","veal_federal","pork_federal","lamb_federal","total_red_federal","broilers_federal","chicken_federal","turkey_federal","total_poultry_federal","total_meat_federal"
"Jan-2016","1954.2","6.7","2084.2","11.2","4056.2","1927.7","6.6","2072.7","10.3","4017.3","3256.8","41.8","476.5","3786.9","7804.2"
"Dec-2015","2046.3","7.8","2207.2","13.2","4274.5","2020.5","7.7","2194.5","12.3","4234.9","3334.5","44.2","461.2","3852.9","8087.8"
"Nov-2015","1936.1","7.1","2080.8","11.8","4035.7","1911.2","6.9","2068.9","10.9","3997.9","3135.4","38.8","470.7","3656.3","7654.2"
"Oct-2015","2126.3","7.2","2169.2","11.9","4314.6","2096.5","7.1","2155.5","10.9","4270.0","3466.8","47.6","525.9","4052.4","8322.4"
"Sep-2015","2086.6","6.8","2035.9","12.3","4141.7","2060.2","6.7","2022.1","11.0","4100.1","3486.3","45.6","452.3","3995.9","8096.0"
"Aug-2015","1934.9","6.5","1949.1","11.7","3902.2","1911.0","6.3","1935.8","10.6","3863.8","3417.5","42.9","450.3","3921.5","7785.3"
"Jul-2015","2046.8","6.9","1972.9","12.9","4039.5","2023.4","6.8","1960.5","11.8","4002.5","3468.7","44.6","448.5","3973.4","7975.9"
"Jun-2015","2001.6","7.0","1995.9","13.5","4018.0","1977.6","6.9","1984.5","12.3","3981.4","3428.4","45.6","458.3","3944.0","7925.4"
"May-2015","1925.5","6.6","1861.9","11.9","3806.0","1902.6","6.5","1851.3","11.1","3771.4","3246.5","40.4","434.0","3731.8","7503.2"
"Apr-2015","1928.8","6.6","2066.9","13.7","4016.0","1903.9","6.5","2055.0","12.8","3978.1","3346.3","46.4","496.6","3901.6","7879.7"
"Mar-2015","1933.3","6.9","2111.8","14.3","4066.3","1907.2","6.8","2099.1","13.5","4026.6","3389.0","43.9","501.9","3947.1","7973.7"
"Feb-2015","1768.1","6.3","1945.2","11.5","3731.1","1744.6","6.2","1934.6","10.8","3696.2","3000.8","41.2","434.5","3486.9","7183.1"
"Jan-2015","1963.5","6.8","2104.5","11.7","4086.5","1936.2","6.7","2093.5","11.0","4047.5","3328.1","41.4","492.3","3873.6","7921.1"
"Dec-2014","2000.2","7.7","2114.3","13.4","4135.5","1973.4","7.5","2103.1","12.6","4096.6","3348.5","44.3","474.9","3880.5","7977.1"
"Nov-2014","1849.5","6.5","1890.2","11.5","3757.7","1825.4","6.3","1880.4","10.6","3722.8","2939.9","36.1","480.8","3467.3","7190.1"
"Oct-2014","2171.1","7.8","2126.4","13.4","4318.6","2138.6","7.6","2113.7","12.3","4272.1","3525.2","47.4","561.6","4146.8","8418.9"
"Sep-2014","2068.4","7.2","1871.9","12.3","3959.9","2041.0","7.1","1860.0","11.3","3919.3","3306.6","45.1","493.5","3856.3","7775.6"
"Aug-2014","2023.5","7.1","1752.2","11.7","3794.5","1999.0","6.9","1740.2","10.6","3756.7","3197.6","45.9","483.8","3737.9","7494.6"
"Jul-2014","2087.4","7.8","1799.8","13.9","3908.9","2060.8","7.7","1788.3","12.8","3869.5","3331.1","44.2","500.4","3887.2","7756.7"
"Jun-2014","2069.0","7.6","1734.0","13.4","3823.9","2044.1","7.4","1723.9","12.4","3787.9","3205.6","43.5","486.0","3745.4","7533.3"
"May-2014","2071.7","7.8","1859.1","13.9","3952.4","2046.8","7.6","1849.0","13.0","3916.5","3201.2","45.9","471.0","3729.0","7645.5"
"Apr-2014","2043.1","8.4","1911.0","15.2","3977.7","2017.5","8.3","1899.4","14.3","3939.4","3210.9","44.4","471.2","3738.0","7677.4"
"Mar-2014","1937.0","8.7","1854.4","13.2","3813.3","1911.9","8.6","1843.7","12.6","3776.7","3098.6","41.5","457.1","3607.3","7384.0"
"Feb-2014","1788.4","8.2","1844.2","11.6","3652.3","1762.2","8.0","1833.7","10.9","3614.9","3015.0","39.7","421.4","3486.2","7101.1"
"Jan-2014","2140.9","9.3","2085.7","12.4","4248.3","2111.5","9.2","2074.3","11.7","4206.7","3185.1","43.2","454.0","3693.1","7899.8"
"Dec-2013","2047.3","9.8","2065.4","13.0","4135.6","2019.1","9.7","2053.9","12.3","4095.0","3093.3","40.1","423.0","3568.1","7663.1"
"Nov-2013","2057.6","9.1","2039.9","11.8","4118.4","2030.9","8.9","2028.9","11.1","4079.8","2968.3","35.9","479.3","3493.0","7572.8"
"Oct-2013","2318.2","9.9","2169.0","13.1","4510.2","2283.8","9.7","2154.7","11.9","4460.1","3475.3","46.8","518.1","4051.8","8511.9"
